Titya synoecura
Titya noctilux
Titya bella
Nesara francesca
Nesara dalceroides
Nesara casada
Epiperola vaferella
Isochaetes rufescens
Euclea bidiscalis
Euclea byrne
Isochaetes dwagsi
Isa diana
Euprosterna wemilleri
Euprosterna hosia
Euphobetron cypris
Euphobetron cupreitincta
Euclea zurquicola
Euclea vericrux
Euclea trichathdota
Euclea plugma
Euclea norba
Euclea microcippus
Euclea mesoamericana
Euclea josepsi
Euclea gajentaani
Euclea diversa
Euclea distrahens
Euclea delphinii
Euclea costaricana
Euclea buscki
Macrosoma rubedinaria
Nephelistis noctivaga
Nephelistis stellans
Phuphena zelotypa
Phuphena tura
Phuphena multilinea
Phuphena cilix
Peridroma saucia
Peridroma differens
Lophomyra tacita
Lacinipolia rodora
Lacinipolia olivacea
Lacinipolia laudabilis
Hydroeciodes ritaria
Hydroeciodes cauta
Hydroeciodes azteca
Hemieuxoa rudens
Hemieuxoa nezia
Feltia subterranea
Feltia repleta
Euxoa sorella
Anicla recondita
Praina cirphioides
Anicla ornea
Praina irazuna
Pseudorthodes iole
Lichnoptera gulo
Lichnoptera decora
Charadra nitens
Charadra nigracreta
Charadra deridens
Antachara mexicana
Antachara diminuta
Antachara denterna
Striacosta albicosta
Spodoptera ornithogalli
Spodoptera latifascia
Spodoptera frugiperda
Spodoptera exigua
Spodoptera eridania
Spodoptera dolichos
Spodoptera cosmioides
Spodoptera androgea
Spodoptera albula
Speocropia aenyra
Praina molitrix
Lichnoptera pollux
Anicla infecta
Anicla beata
Marilopteryx lamptera
Marilopteryx carancahua
Leucania senescens
Leucania rhodoptera
Leucania lobrega
Leucania latiuscula
Leucania infatuans
Leucania inconspicua
Leucania incognita
Leucania humidicola
Leucania dorsalis
Lepteria viridicosta
Leioselia egregia
Heterodelta nea
Heterochroma singularis
Heterochroma sarepta
Heterochroma luma
Heterochroma lineata
Heterochroma ligata
Micromonodes semiluna
Anicla ignicans
Mythimna sequax
Orthodes curvirena
Agrotis malefida
Agrotis ipsilon
Micrantha mollita
Heliocheilus lupatus
Helicoverpa zea
Chloridea virescens
Chloridea subflexa
Xanthopastis timais
Trichestra mixta
Trichestra albirena
Tranoses hirtipuncta
Tiracola grandirena
Stauropides persimilis
Polia marea
Polia canosticta
Orthodes majuscula
Orthodes lobata
Orthodes lanaris
Orthodes cynica
Mythimna unipuncta
Heterochroma hypatia
Agrapha meretricia
Argyrogramma verruca
Gonodes echion
Gonodes cuneata
Galgula hippotamada
Euplexia triplaga
Eumichtis adducta
Elaphria trolia
Elaphria subobliqua
Elaphria rubripicta
Elaphria renipes
Elaphria pulchra
Elaphria phlegyas
Elaphria pallescens
Elaphria optata
Elaphria obscura
Elaphria nucicolora
Elaphria niveopis
Elaphria niveiplaga
Elaphria monyma
Elaphria medioclara
Gonodes liquida
Elaphria marmorata
Gonodes netopha
Magusa divaricata
Elaeognatha argentea
Diplolopha cycloptera
Afrida zoephila
Afrida ydatodes
Afrida sceletozona
Afrida polyglotta
Afrida parvula
Afrida minuta
Afrida ciliata
Trachea viridis
Trachea uscana
Trachea supera
Trachea nigrescens
Trachea altivolans
Phosphila xylophila
Phosphila lacruma
Neophaenis respondens
Neophaenis psittacea
Neophaenis boucheri
Gonodes obliqua
Agrapha nigra
Elaphria malaca
Elaphria jalapensis
Bryolymnia poasia
Bryolymnia marginata
Bryolymnia forreri
Bryolymnia bicon
Alastria tropicalis
Alastria macho
Acroria terens
Acroria chloegrapha
Basilodes aurata
Trichoplusia ni
Rachiplusia ou
Notioplusia illustrata
Mouralia tinctoides
Megalographa talamanca
Enigmogramma limata
Ctenoplusia oxygramma
Ctenoplusia caudata
Chrysodeixis includens
Autoplusia egenoides
Bryolymnia roma
Elaphria lucens
Bryolymnia viridimedia
Chytonix elegans
Elaphria hypophaea
Elaphria grata
Elaphria devara
Elaphria deltoides
Elaphria delenifica
Elaphria cohaerens
Elaphria cognata
Elaphria barbarossa
Elaphria antica
Elaphria agrotina
Elaphria acaste
Dypterygia patina
Dypterygia ordinarius
Dypterygia lignaris
Dypterygia ligata
Chytonix splendens
Chytonix pyrrha
Chytonix palliatricula
Chytonix mniochroa
Chytonix cyanochlora
Nephelistis spadix
Heterochroma exundata
Heterochroma beryllus
Micrathetis dasarada
Homophoberia apicosa
Hemicephalis rufipes
Hemicephalis paulina
Hemicephalis laronia
Hemicephalis grandirena
Hemicephalis characteria
Hemicephalis alesa
Hemicephalis agenoria
Diastema tigris
Diastema morata
Diastema cnossia
Condica vacillans
Condica sutor
Condica selenosa
Condica roxana
Condica parista
Condica mobilis
Condica mimica
Micrathetis tecnion
Condica micrippia
Micrathetis triplex
Ogdoconta pulverulenta
Dyops subdifferens
Dyops cuprescens
Dyops chromatophila
Ceroctena amynta
Cydosia curvinella
Cucullia costaricensis
Stibaera dentilineata
Stibaera curvilineata
Stibaera costiplaga
Stibaera albisparsata
Perigea leucanioides
Perigea kalma
Perigea illicita
Perigea hippia
Perigea glaucoptera
Perigea drusilla
Perigea berinda
Perigea agnonia
Ogdoconta pulvilinea
Ogdoconta cymographa
Dyops telharsa
Condica imitata
Condica concisa
Concana mundissima
Concana lepida
Concana lecta
Concana intricata
Concana hoshea
Bagisara tristicta
Bagisara repanda
Bagisara pacifica
Bagisara laverna
Bagisara demura
Bagisara avangareza
Bagisara albicosta
Amyna tristis
Amyna stricta
Amyna axis
Amyna amplificans
Satrapodes dosca
Paratrachea laches
Nephelistis vellerea
Concana permixta
Condica funerea
Diopa corone
Diopa furcula
Condica circuita
Condica albolabes
Condica albigera
Condica abida
Vespola plumipes
Vespola caeruleifera
Prasinopyra metaleuca
Parangitia temperata
Parangitia subrufescens
Parangitia guanacaste
Parangitia grisescens
Parangitia diaperas
Parangitia corma
Parangitia circumcincta
Parangitia chlorosticta
Parangitia atys
Encruphion xanthotricha
Encruphion porrima
Encruphion leena
Diopa creta
Heterochroma eriopioides
Litoprosopus confligens
Sosxetra grata
Eriopyga monilis
Eriopyga moneti
Eriopyga moesta
Eriopyga macrolepia
Eriopyga limonis
Eriopyga leucocraspis
Eriopyga hyposcota
Eriopyga fuscescens
Eriopyga flavigera
Eriopyga fea
Eriopyga evanida
Eriopyga euryte
Eriopyga euchroa
Eriopyga duruscula
Eriopyga ditissima
Eriopyga crista
Eriopyga contempta
Eriopyga aenescens
Eriopyga adonea
Eriopyga nigripars
Dargida juxta
Eriopyga niveipuncta
Eriopyga pyropis
Heterochroma bellona
Heterochroma amphion
Hampsonodes orbica
Hampsonodes naevia
Hampsonodes melagona
Hampsonodes mastoides
Hampsonodes maneti
Hampsonodes latifascia
Hampsonodes grandimacula
Hampsonodes fuscoma
Hampsonodes dislocata
Hampsonodes confisa
Hampsonodes aperiens
Fracara viridata
Eriopyga volcania
Eriopyga tertulia
Eriopyga rubripuncta
Eriopyga rhadata
Eriopyga renalba
Eriopyga poasina
Pararcte schneideriana
Dargida grammivora
Closteromorpha reniplaga
Eustrotia ora
Eustrotia merta
Erastroides emarginata
Deltote paloma
Deltote mella
Cobubatha numa
Cobubatha hippotes
Callopistria panamensis
Callopistria mexicana
Callopistria floridensis
Callopistria fimbripes
Callopistria dapsilis
